Item,weight
item1,103.434740049166
item2,222.194339368853
item3,286.755294134644
item4,12.344183789652
item5,234.329975104884
item6,240.484471372606
item7,154.020803189228
item8,156.269451537265
item9,154.843840072537
item10,128.796973676472
item11,161.824584019716
item12,120.129084411224
item13,137.899688428961
item14,205.156705382102
item15,276.759524717662
item16,191.177160448738
item17,159.119239535469
item18,127.104366669615
item19,133.026265578485
item20,393.266814279147
item21,210.727057612162
item22,160.745128264725
item23,164.756170211742
item24,236.767155280468
item25,144.502380245002
item26,84.1436071690822
item27,245.980457672058
item28,118.10754216289
item29,198.788935970865
item30,125.124111906529
item31,288.183803696021
item32,161.952553690475
item33,143.244796999
item34,159.899355152419
item35,69.6725224737037
item36,106.590459032465
item37,25.5968280841061
item38,92.7205446319977
item39,176.456491298903
item40,162.728196767511
item41,315.959701222971
item42,114.508582106034
item43,131.570829300999
item44,177.550159843404
item45,120.452793896347
item46,122.518854570236
item47,111.414544588659
item48,99.8411291488848
item49,158.093750481012
item50,160.252003418664
item51,55.5174994558441
item52,153.433926024853
item53,111.288830045857
item54,118.803039240639
item55,187.015238115454
item56,245.044465519561
item57,331.825397825205
item58,138.131726084504
item59,328.472770308584
item60,107.375316184447
item61,252.527077146625
item62,403.919285657429
item63,197.219168815693
item64,146.429313627043
item65,199.391619543122
item66,342.166755851474
item67,108.911381059927
item68,309.426174353861
item69,306.365183262589
item70,226.917823776305
item71,200.551427075357
item72,163.562500947086
item73,170.678085370085
item74,251.862925400252
item75,365.621668906475
item76,187.728127002642
item77,88.7439242638807
item78,142.113457831188
item79,220.660940973428
item80,174.635270803104
item81,185.776803386856
item82,186.400473851637
item83,90.2158491298645
item84,186.097026366877
item85,268.018580569751
item86,255.80869693346
item87,243.999788087288
item88,167.78144196419
item89,184.672498361722
item90,104.437769631799
item91,195.747294500534
item92,220.415680079667
item93,336.477120579206
item94,280.121060189076
item95,160.353324559883
item96,228.44402375998
item97,109.231356517292
item98,270.256290156183
item99,277.83334027009
item100,369.689368430054
item101,233.161882749999
item102,162.022522117651
item103,205.279479496357
item104,159.801777408491
item105,133.920113029653
item106,213.359142380239
item107,128.298829900419
item108,213.454831012461
item109,228.397460881188
item110,195.831590650309
item111,184.3252305027
item112,148.074419871539
item113,111.218621488101
item114,267.941936212405
item115,201.789002086082
item116,266.491249384547
item117,100.456971892462
item118,213.522113101294
item119,253.853304555814
item120,197.897889884118
item121,184.688626515518
item122,137.44746826401
item123,364.652959021079
item124,260.040116252466
item125,345.936664190263
item126,206.404771287359
item127,149.487256082691
item128,78.9369503973018
item129,149.112013513196
item130,218.104122599773
item131,281.09522779726
item132,220.220010805307
item133,106.24413497271
item134,253.497146282003
item135,67.9919252124512
item136,170.731820144648
item137,174.710533693354
item138,44.1403162142905
item139,273.604601791272
item140,150.17027240969
item141,173.277068000203
item142,311.61183140237
item143,250.933952883116
item144,191.325464240769
item145,241.101022272374
item146,231.941744581917
item147,333.028515794432
item148,222.071472286839
item149,240.501809856615
item150,227.804158001905
item151,169.820988200295
item152,207.809557048739
item153,331.099571609738
item154,129.952602064834
item155,209.740799891284
item156,308.970452867599
item157,181.230313046183
item158,115.729375364553
item159,130.417311549127
item160,168.789837628236
item161,132.211994149634
item162,179.148848632048
item163,166.846423492649
item164,185.355936182445
item165,232.564487830446
item166,249.970650256172
item167,334.256459496377
item168,194.504507714801
item169,174.332806987346
item170,317.680457363912
item171,336.346351826168
item172,203.459523004602
item173,173.387414469318
item174,54.2211665949523
item175,312.900991899742
item176,132.993405273851
item177,110.098976448375
item178,443.501270887623
item179,218.801704660054
item180,197.339311190936
item181,-18.5775618364643
item182,192.016752924648
item183,278.082538793792
item184,233.109513236088
item185,272.985772928809
item186,358.698576054751
item187,293.52868112109
item188,159.301038766782
item189,256.334414277241
item190,184.126698094234
item191,156.954336889211
item192,-28.4606924015388
item193,136.828251818899
item194,239.025170813095
item195,373.442603161546
item196,240.055569142463
item197,249.616816293386
item198,122.727743189314
item199,213.012376649461
item200,33.7409966490098
item201,238.81814564554
item202,255.741502285193
item203,214.841113246645
item204,256.058681243557
item205,224.934482292909
item206,260.836988957427
item207,347.397090096613
item208,288.989027301008
item209,202.613116600116
item210,110.844082816211
item211,233.444625790807
item212,167.981181012547
item213,319.479448209398
item214,71.4335248120227
item215,166.739856927879
item216,233.760669857394
item217,187.861077077202
item218,151.507910778862
item219,175.622314482663
item220,250.362887990758
item221,271.613758422043
item222,252.817010545632
item223,381.878681635798
item224,293.879805810591
item225,223.016778265103
item226,147.218392494296
item227,433.531210457409
item228,254.193240035066
item229,145.254372469119
item230,214.919366646478
item231,174.048535961307
item232,178.023662541935
item233,125.319732752811
item234,209.347627598887
item235,225.532819091849
item236,113.796630179246
item237,-58.652170633851
item238,179.610027787637
item239,202.361426425718
item240,247.541901928841
item241,204.730813454304
item242,233.071911578964
item243,112.178226034366
item244,256.894020581635
item245,257.511098388331
item246,220.132085522317
item247,308.581954892142
item248,232.357477702289
item249,221.149141587035
item250,221.443512331496
item251,234.954446163159
item252,284.809912438989
item253,236.175231722297
item254,253.055889254965
item255,109.090115680733
item256,170.360198632631
item257,318.157567183398
item258,102.0876999589
item259,220.645470991688
item260,232.400224434681
item261,278.064265744756
item262,172.089861076807
item263,212.690035159301
item264,58.9395946767077
item265,227.087683767992
item266,146.674797635258
item267,180.908270053788
item268,104.978777403424
item269,230.794825741486
item270,253.326361252358
item271,175.630888843381
item272,346.000885126904
item273,253.644749645407
item274,275.890605860412
item275,363.952240133673
item276,147.910911260997
item277,264.689541827703
item278,278.926449116365
item279,199.506336312744
item280,225.524188634553
item281,119.054247780652
item282,237.613403818111
item283,143.922373469672
item284,265.094629002119
item285,135.085537280578
item286,225.551798967957
item287,132.27818774691
item288,180.338945669701
item289,75.7712791115631
item290,210.27472263406
item291,278.835471152389
item292,214.659801845375
item293,58.7016629255633
item294,150.357304270725
item295,332.483442959899
item296,344.78443084671
item297,105.997058559029
item298,170.663739293789
item299,228.290035914183
item300,225.532497669432
item301,153.603440878448
item302,123.737703844247
item303,185.64571304435
item304,280.784657195544
item305,201.890129193713
item306,148.077742433288
item307,159.650062236145
item308,329.151319636669
item309,164.243215099547
item310,261.054140889065
item311,317.737494894864
item312,235.493192294993
item313,166.262250394385
item314,196.799869903514
item315,160.617602541769
item316,298.21736938502
item317,188.035714780449
item318,323.998670718597
item319,155.070997169495
item320,148.230619949411
item321,211.450572724034
item322,201.935091839284
item323,159.64387803353
item324,73.4882552055729
item325,202.405313700433
item326,142.673864074344
item327,286.60887643809
item328,123.785163604857
item329,290.118618320733
item330,148.076558609671
item331,223.397606272538
item332,271.896217952219
item333,158.50061145665
item334,244.35508418761
item335,192.962106305279
item336,109.182965647398
item337,178.393631120008
item338,329.583190202795
item339,182.869506104269
item340,134.577402966003
item341,195.678166073471
item342,226.41132878863
item343,276.425969172592
item344,291.516790223395
item345,208.041791870005
item346,293.166019652591
item347,138.859204176068
item348,12.4389276247757
item349,162.265325957637
item350,158.731560839409
item351,14.7171078797952
item352,244.997740557563
item353,137.29798884621
item354,181.915681101747
item355,73.0317609876766
item356,243.801936149465
item357,351.298161388438
item358,129.753831182076
item359,190.995287116417
item360,355.897045198079
item361,274.705306576618
item362,353.044753735764
item363,199.581275365445
item364,187.819196086269
item365,159.229467425671
item366,314.765896274089
item367,97.1329174133609
item368,224.585137220401
item369,196.294517337809
item370,380.14734401015
item371,151.357301711223
item372,79.2569464119171
item373,218.610541560686
item374,196.828104315913
item375,132.869994599572
item376,210.583287059532
item377,177.958020263525
item378,145.699308698557
item379,240.066874542066
item380,173.467015039457
item381,53.2015799381979
item382,-12.1392998698145
item383,153.553426233247
item384,316.334949669695
item385,267.050350397175
item386,297.204286435691
item387,278.600435418624
item388,225.261121921474
item389,79.4349897826943
item390,216.445582973302
item391,327.778247227505
item392,-71.6850827659491
item393,137.491817255833
item394,288.197171260153
item395,242.299601555623
item396,263.151552281188
item397,236.567960468486
item398,243.10664925265
item399,201.171449792888
